# 11b5L
#  the book of Isaiah
# zavTu transliteration
# by john.david jones
# ozazL
#-----------------------ch 1
, : ,
the : da
holy : suni
one : eLikam
of : asu
israel : israeL
, : ,
your : femaza
savior : fozeaz
. : .
i : eLe
to_give : ukezu
egypt : iqubtu
as : eh
your : femaza
ransom : vomhan
, : ,
ethiopia : kus
and : oxe
seba : seba
in : uL
exchange : ijajomqa
for (prep) : huvuin
you : fema
. : .
because : qufge
you : fema
to_be : uamu
precious : bazixuuohamo
in : uL
my : eLemza
sight : fekfatu
, : ,
and : oxe
honored : fumuvaTmo
, : ,
and : oxe
i : eLe
to_love : uvoqofdeu
you : fema
. : .
i : eLe
to_give : ukezu
people : kuunim
in :  uL
return : vativLi
for (prep) : huvuin
you : fema
. : .
nations : moteuLim
in : uL
exchange : ijajomqa
for (prep) : huvuin
your : femaza
life : neha
. : .
to_do (imp) : utuTua
not : mot
to_fear : ubangu
, : , 
for (conj) : huvupu
i : eLe
to_be : uamu
with : qemhe 
you : fema
. : .
i : eLe
will : danaLeu
to_bring : upzuLku
your : femaza
offspring : ashuhbazuLkim
from : hazani
the : da
east : ude
, : ,
and : oxe
from : hazani
the : da
west : namhu
i : eLe
will : danaLeu
to_gather : ukodavu
you : fema
. : .
i : eLe
will : danaLeu 
to_say (fut) : ubofi
to : tu
the : da
north : muvTu
' : qi
to_give (imp) : ukeza
them : miim
up : maoho
. : .
' : qu
, : ,
and : oxe
to : tu
the : da
south : fuoT
' : qi
to_do (imp) : utuTua
not : mot
to_withold : uzedfumTu
. : .
to_bring (imp) : upzuLka
my : eLemza
sons : buugeT
from : hazani
far : hovo
away : ereizi
, : , 
and : oxe
my : eLemza
daughters : titavim
from : hazani
the : da
ends : iLTuT
of : asu
the : da
earth : iovTa
. : .
everyone : qiugqe
who : qiqo
to_be : umau
called : pujojnamuni
by : pi 
my : eLemza
name : moL
, : ,
who : qiqo
i : eLe
to_create (past) : ujziotao
for (prep) : huvuin
my : eLemza
glory : kumazu
, : ,
who : qiqo
i  : eLe
to_form (past) : uhuvno
and : oxe
to_make (past) : uLaqao
. : .
' : qu
to_bring (imp) : upzuLka
forth : huvaTzi
the : da
people : kuunim
who : qiqo
to_be : uamu
blind : pamuLTumo
yet : cuatpu
to_have  : utuseu 
eyes : fenaneT
, : ,
who : qiqo
to_be : uamu
deaf : oTaesmo
yet : cuatpu
to_have : utuseu
ears : quvreT
. : .
to_let (imp) : unata
all : bom
the : da
nations : moteuLim
to_gather : ukodavu
together : kuftafhezizi
, : ,
and : oxe
to_let (imp) : unata
the : da
people : kuunim
to_assemble : uefhaLpnau
. : .
'? : qqi
who : qiqo
among : enamku
them : miim
to_declare (past) : uTajmezo
this : def
, : ,
and : oxe
to_foretell (past)  :  uhuvatanmo
to : tu
us : La
the : da
former : iLtemamo
things : dumqaT
'? : qqu
to_let (imp) : unata
them : miim
to_bring : upzuLku
their : miza 
witnesses : zetLihaT
to_justify : uexifdehiu
them : miim
, : ,
and : oxe
to_let (imp) : unata
them : miim
to_hear : ufnau
and : oxe
to_say : ubofu
' : qi
it : fa
to_be : uamu
true : entu
. : .
' ; qu
you (pl) : femaT
to_be : uamu
my : eLemza
witnesses : zetLihaT
, : ,
to_say : ubofu
the : da
lord : etme
, : ,
and : oxe
my : eLemza
servant : foLteh
who : qiqo
i : eLe
have : ueLanad
to_choose (past) : ujirao
so : fu
that : idta
you (pl) : femaT
may : Lou
to_know : uqaLaru
and : oxe
to_believe : upaneiriu
me : eLem
and : oxe
to_understand : uunLavau
that : idta
i : eLe
to_be : uamu
he : sa
. : .
before (adv) : pahuvzi
me : eLem
no : iL
god : kut
to_be (past) : uamo
formed (past) : kuhuvoni
, : ,
nor : muz
shall : ufanmu
there : dava
to_be (fut) : uami
any : eLu
after  (prep) : estazin
me : eLem
. : .
i : eLe
, : ,
i : eLe
to_be : umau
the : da
lord : etme
, : ,
and : oxe
other : aTiz
than : dam
me : eLem
there : dava 
to_be : uamu
no : iL
savior : fozuez
. : .
i : eLe
to_declare (past) : uTajmezo
, : ,
and : oxe
to_save (past) : ufozao
and : oxe
to_proclaim (past) : ubzaxmouno
when : qom
there : dava
to_be (past) : uamo
no : iL
strange : fudvomqimo  
god : kut
among : enamku
you (pl) : femaT
, : ,
and : oxe
you (pl) : femaT
to_be : uamu
my : eLemza
witnesses : zetLihaT
, : ,
to_say : ubofu
the : da
lord : etme
. : .
i : eLe
to_be : uamu
god : kut
and : oxe
from : hazani
now : mit
i : eLe
to_be : uamu
he : sa
. : .
there : dava
to_be : uamu
no : iL
one : eLikam
who : qiqo
to_be_able : tupaepna
to_deliver : uTanezavu
from : hazani
my : eLemza
hand : qafe
. : .
'? : qqi
who : qiqo
to_be_able : tupaepna
to_hinder : usemtizu
my : eLemza
work : ozuvgu
'? : qqu
thus : difazi 
to_say : ubofu
the : da
lord : etme
, : ,
your : femaza
redeemer : ovaTainiz
, : ,
the : da
holy : suni
one : eLikam 
of : asu
isreal : israeL
. : .
for (prep) : huvuin
your : femaza
sake : ofogi
i : eLe
will : danaLeu
to_send : ufamtu
to : tu
babylon : babaLon
and : oxe
to_break : upzioqu
down : TuzLa
all : bom
the : da
bars : opovim
, : ,
and : oxe
the : da
shouting (noun) : ofafaituLka
of : asu
the : da
chaldeans : caLdeanim
shall : ufanmu
to_to_be : tupa
turned : kutivLuni
to  : tu

lamentation : noLamdeduun
. : .
i : eLe
to_be : uamu
the : da
lord : etme
, : ,
your : femaza
holy  suni
one : eLikam
, : ,
the : da
creator : ojaziotaz
of : asu
israel : israeL
, : ,
your : femaza
king : vacu
. : .
thus : difazi
to_say : ubofu
the : da
lord : etme
, : ,
who : qiqo
to_make : uLaqau
a : a
way : zou
in : uL
the : da
sea : Lave
, : ,
a : a
path : bod
in : uL
the : da
mighty : Lekfatimo
waters : zifeT
, : ,
who : qiqo
to_bring : upzuLku
out : aut
chariot : joveadim
and : oxe
horse : suvhi
, : ,
army : ezLaxo
and : oxe
warrior : zovzuuv
. : .
they : mi
to_lay : unouu
down : TuzLa
, : ,
they : mi
not : mot
to_be_able : tupaepna
to_to_rise : tuveru
. : .
they : mi
to_be : uamu
extinguished :  guijtemqoetuni
, : ,
quenched : kugiLjasuni
like : qiuL
a : a
wick : zejga
. : .
to_do (imp) : utuTua
not : mot
to_remember : uLiuhtou
the : da
former : iLtemamo
things : dumqaT
, : ,
or : az
to_consider : ujumhutazu
the : da
things : dumqaT
of : asu
old : amTamo
. : .
i : eLe
to_be : umau
about (adv) : epaitzi
to_to_do : tutuTuu
a : a
new : oife
thing : dumqa
. : .
now : mit
it : fa
to_spring : ufbavemqu
forth (adv) : huvaTzi
. : .
'? : qqi
to_do : utuTuu
you : fema
not : mot
to_perceive : ubavjauru
it : fa
'? : qqu
i : eLe
will : danaLeu
to_make (fut) : uLaqai
a : a 
way : zou
in : uL
the : da
wilderness : izenoe
, : ,
and : oxe
rivers : exuqeT
in : uL
the : da
desert : oTafavdu
. : .
the : da
wild : zentamo
animals : imeemim
will : danaLeu
to_honor : usumuvu
me : eLem
, : ,
the : da
jackals : exojgemim
and : oxe
the : da
ostriches : fedvithuT
. : .
for (conj) : huvupu
i : eLe
to_give : ukezu
water : zife
in : uL
the : da
wilderness : izenoe
, : ,
and : oxe
rivers : exuqeT
in : uL
the : da
desert : oTafavdu
, : ,
to_to_give : tukezu
drink (noun) : TazuLqu
to : tu
my : eLemza
chosen : jafahiL
people : kuunim
, : ,
the : da
people : kuunim
who : qiqo
i : eLe
to_form (past) : uhuvno
for (prep) : huvuin
myself : Lifansu
, : ,
so : fu
that : idta
they :  mi
may : Lou
to_declare : uTajmezu
my : eLemza
praise : ocubzoefa
. : .
yet : cuatpu
you : fema
to_do (past): utuTuo
not : mot
to_call (past) : ujonmo
upon : obam
me : eLem
, : ,
o : o
jacob : jakob
. : .
but : pit
you : fema
have : ueLanad
to_be (past) : uamo
weary (adj) : zaezumo
of : asu
me : eLem
, : ,
o : o
israel : israeL
. : .
you : fema
have : ueLand
not : mot
to_bring (past) : upzuLko
me : eLem
your : femaza
sheep : noLnehim
for (prep) : huvuin
burnt : pivLatmo
offerings : buahsavuT
, : ,
or : az
to_honor (past) : usumuvo
me : eLem
with : qemhe
your : femaza
sacrifices : fojzusuxaT
. : .
i : eLe
have : ueLanad
not : mot
to_burden (past) : upivtiLo
you : fema
with : qemhe
offerings : buahsavuT
, : ,
or : az
to_weary (past) : uzaezu
you : fema
with : qemhe
frankincense : hazeLqemexiLfa
. : .
you : fema
have : ueLanad
not : mot
to_bring (past) : upzuLko
to : tu
me : eLem
sweet : faziatmo
cane : joma
with  : qemhe
money : vose
, : ,
or : az
to_satisfy (past) : ufotefsuo
me : eLem
with : qemhe
the : da 
fat : vofre
of : asu
your : femaza
sacrifices : fojzusuxaT
. : .
but : pit
you : fema
have : ueLanad
to_burden (past) : upivtiLo
me : eLem
with : qemhe
your : femaza
sins : timduT
. : .
you : fema
have : ueLanad
to_weary (past) : uzaezo
me : eLem
with : qemhe 
your : femaza
iniquities : buLukaetiT
. : .
i : eLe
, : ,
i : eLe
to_be : uamu
he : sa
who : qiqo
to_blot : upmadu
out : aut
your : femaza
transgressions : tazeLfqavafuumim
for (prep) : huvuin
my : eLemza
own : armu
sake : ofogi
. : .
and : oxe
i : eLe
will : danaLeu
not : mot
to_remember (fut) : uLiuhtoi
your : femaza
sins : timduT
. : .
to_accuse (imp) : uexjifaa
me : eLem
to_let (imp) : unata
us : La
to_go : uLamLu
to : tu
trial : tazuon
. : .
to_set (imp) : ufata
forth (adv) : huvaTzi
your : femaza
case : jofa
, : ,
so : fu
that : idta
you : fema
may : Lou
to_be : uamu
proved : cubzariuni
correct : quvcede
. : .
your : femaza
first : guLikagni
ancestor : eLjafdaz
to_sin (past) : utimo
, : ,
and : oxe
your : femaza
interpreters : guLtavbavatavim
to_transgress (past) : utzeLfqavafho
against : egeemhutu
me : eLem
. : .
therefore : izqu
i : eLe
to_profane (past) : ubzaseLo
the : da
princes : bazuLjaT
of : asu
the : da
sanctuary : bisaqaga
. : .
i : eLe
to_deliver (past) : uTanezavo
jacob : jakob
to : tu
utter : odtiv
destruction : omutisuta
, : ,
and : oxe
israel : israeL
to : tu
reviling : uvazenuLka
. : .
__: bobo
#------------------------ch 44  
but : pit
now : mit
to_hear (imp) : ufnaa
o : o
jacob : jakob
my : eLemza
servant : foLteh
, : ,
israel : israeL
who : qiqo
i : eLe
have : ueLanad
to_choose (past) : ujirao
. : .
thus : difazi
to_say : ubofu
the : da
lord : etme
who : qiqo
to_make (past) : uLaqao
you : fema
, : ,
who : qiqo
to_form (past) : uhuvno
you : fema
in : uL
the : da
womb : qusdo
and : oxe
will : danaLeu
to_help : usambu
you : fema
. : .
to_do (imp) : utuTua
not : mot
to_fear : ubangu
o : o
jacob : jakob
my : eLemza
servant : foLteh
, : ,
jeshurun : jesurun
who : qiqo
i : eLe
have : ueLanad
to_choose (past) : ujirao
. : .
for (conj) : huvupu 
i : eLe
will : danaLeu
to_pour (fut) : ubuomi
water : zife
on : aL
a : a
thirsty : devhatmo
land : nomta
, : ,
and : oxe
streams : fadvaenim
on : aL
the : da
dry : muTzuimo
ground : kizaimtu
. : .
i : eLe
will : danaLeu
to_pour : ubuomu
my : eLemza
spirit : samgu
upon : obam
your : da
descendants : TafexiLTomduT
, : ,
and : oxe
my : eLemza
blessing : opamihfemka
on : aL
your : femaza
offspring : ashuhbazuLkim
. : .
they : mi
shall : ufanmu
to_spring : ufbavemqu
like : qiuL
a : a 
green : kaziamo
tamarisk : toLovefqa
, : ,
like : qiuL
willows : zenmaT
near (adv) : nasanmezi
flowing : hanruLka
streams : fadvaenim
. : .
this : def
one  : eLikam
will : danaLeu
to_say : ubofu
' : qi
i : eLe
to_be : uamu
the : da
lord's : etmeza
. : .
' : qu
another : tuuLiL
will : danaLeu
to_to_be  : tupa
called : pujojnamuni
by : pi 
the : da
name : moL
of : asu
jacob : jakob
. : .
yet : cuatpu
another : tuuLiL
will : danaLeu
to_write : uzazudiu
on : aL
the : da
hand : qafe
' : qi
the : da
lord's : etmeza
. : .
'  : qu
, : ,
and : oxe
to_adopt : uetabtu
the : da
name : moL
of : asu
israel : israeL
. : .
thus : difazi 
to_say : ubofu
the : da
lord : etme
, : ,
the : da
king : vacu
of : asu
israel : israeL
and : oxe
his : saLza
redeemer : ovaTainiz
, : ,
the : da
lord : etme
of : asu
hosts : sufduT
. : .
i : eLe
to_be : uamu
the : da
first : guLikagni
and : oxe
the : da
last : nofdu
. : .
there : dava
to_be : uamu
no : iL
other : aTiz
god : kut
. : .
'? : qqi
who : qiqo
to_be : uamu
like : qiuL
me : eLem
'? : qqu 
to_let (imp) : unata
them : miim
to_declare : uTajmezu
it : fa
and : oxe
to_set (imp) : ufata
it : fa
before : pahuv
me : eLem
. : .
'? : qqi
who : qiqo
have : ueLanad
to_announce (past) : ueLmoLjio
from : hazani
of : asu
old : amTamo
the : da
things : dumqaT
to_to_come (fut) : tujuLai
'? : qqu
to_let (imp) : unata
them : miim
to_tell (fut) : uqavdui
us : La
what : Leta
to_be : uamu
yet (adv) : cuatzi
to_to_be : tupa
. : .
to_do (imp) : utuTua
not : mot
to_fear : ubangu
, : ,
or : az
to_to_be : tupa
afraid : esvoetnimo
. : .
'? : qqi
have : ueLanad
i : eLe
not : mot
to_tell (past) : uqavduo
you : fema
from : hazani
of : asu
old (adj́) : amTamo
and : oxe
to_declare (past) : uTajmezo
it : fa
'? : qqu
you (pl) : femaT
to_be : uamu
my : eLemza
witnesses : ozetLihaT
. : .
'? : qqi
to_be : uamu
there : dava
any : eLu
god : kut
besides (adv) : pafeTafzi
me : eLem
'? : qqu 
there : dava
to_be : uamu
no : iL
other : aTiz
rock : vuqa
. : .
i : eLe
to_know : uqaLaru
not : mot
one : eLika
. : .
all : bom
who : qiqo
to_make : uLaqau
idols : utamfaT
to_be : uamu
nothing : eemhob
, : ,
and : oxe
the : da
things : dumqaT
that : idta
they : mi
to_delight : uTanetu
to_do : utuTuu
not : mot
to_profit : ubzasudu
. : .
their : miza
witnesses : ozetLihaT
neither : mauTiz
to_see : uzeTu
nor : muz
to_know : uqaLaru
. : .
and : oxe
so : fu
they : mi
will : danaLeu 
to_to_be : tupa
put : kubituni
to : tu
shame (noun) : ofafenia
. : .
'? : qqi
who : qiqo
would : zuomTuni
to_fashion : uhofafuumu
a : a
god : kut
to_cast : ujofdu
a : a
image : gueqi
that : idta
to_be_able : tupaepna
to_do : utuTuu
no : iL
good (noun) : okuat
'? : qqu
to_look (imp) : unaugoa
, : ,
all : bom
of : asu
its : safaza
devotees : TazutaiT
shall : ufanmu
to_to_be : tupa
put : kubituni
to : tu
shame (noun) : ofafenia
. : .
the : da
artisans : eztefomim
also (adv) : emfuzi
to_be : uamu
merely (adv)  : Lavanizi
human (adj) : siLomamo
. : . : . : .: . : .
to_let (imp) : unata
them : miim
all : bom
to_assemble (imp) : uefhaLpnaa
. : .
to_let (imp) : unata
them : miim
to_stand : uqomdeu
up : maoho
. : .
they : mi
shall : ufanmu
to_be (fut) : uami
terrified (adj) : tavzusunimo
. : .
they : mi
shall : ufanmu
all : bom
to_to_be : tupa
put : kubituni
to  : tu
shame (noun) : ofafnia
. : .
the : da
ironsmith : guzaLfanuTa
to_fashion : uhofafuumu
it : fa
and : oxe
to_work : uzavgu
it : fa 
over : ariz
the : da
coals : juemim
, : ,
shaping : ufafebiuLka
it : fa
with : qemhe
hammers : soLnizim
, : ,
and : oxe
forging : uhuvqiuLka
it : fa
with : qemhe 
his : saLza
strong : zosroTmo
arm : qafezevhu
. : .
he : sa
to_become : upajuLau
hungry : simqavi
and : oxe
his : saLza
strength : fadvamqad
to_fail : uhoumu
. : .
he : sa 
to_drink : uTzuLqu
no : iL
water  zife
and : oxe
he : sa
to_be : uamu
faint : houLtmo
. : .
the : da
carpenter : jovbiLtav
to_stretch : ufdavatexsu
a : a
line : nema
, : ,
to_mark : uLovgu
it : fa
out : aut
with : qemnhe 
a : a
stylus : fatimoh
, : ,
to_fashion : uhofafuumu
it : fa
with : qemhe
planes : bameLiT
, : ,
and : oxe
to_mark : uLovgu
it : fa
with : qemhe
a : a
compass : juLbehfa
. : .
he : sa
to_make : uLaqau
it : fa
in : uL
human : siLomamo
form : ohuvna
with : qemhe 
human : siLomamo
beauty : qooLiif
, : ,
to_to_be : tupa
set : cufatuni
in : uL
a : a
shrine : fafvema
. : .
he : sa
to_cut : ujitu
down : TuzLa
cedars : cedarim
or : az
to_choose : ujirau
a : a
holm : hoLm
tree : bio
or : az
a : a
oak : tonLu
and : oxe
to_let : unatu
it : fa
to_grow : ukzaru
strong : zosroTmo
among : enamku
the : da 
trees : bioT
of : asu
the : da
forest : huvafda
. : .
he : sa
to_plant : ubmaeLtu
a : a
cedar : cedar
, : ,
and : oxe
the : da
rain : vouL
to_nourish : umuozuhsu
it : fa
. : .
then : fenmaem 
it : fa
to_be_able : tupaepna
to_to_be : tupa
used : cuohituni
for (prep) : huvuin
fuel : ohiima
. : .
part (adv) : bovduzi
of : asu
it : fa
he : sa
to_take : utoqau
to_to_warm : tuzovno
himself : saLfansa
. : .
he : sa
to_kindle : uqemtanu
a : a 
fire : tine
and : oxe
to_bake : upoqau
bread : naube
. : .
then : fenmaem 
he : sa
to_make : uLaqau
a : a
god : kut
and : oxe
he : sa
to_worship : ubouraLtou
it : fa
. : .
he : sa
to_make : uLaqau
it : fa
a : a
carved : jovritmo
image : guneqi
and : oxe
he : sa
to_bow : uopuzu
down : TuzLa
before : pahuv
it : fa
. : .
half : sonsa
of : asu
it : fa
he : sa
to_burn : upivLu
in : uL
the : da
fire : tine
. : .
over : ariz
this : def
half : sonsa
he : sa
to_roast : uvuehtu
meat : neso
. : . : . : .: . : .
he : sa
to_eat : ueiqamu
it : fa
and : oxe
he : sa
to_be : uamu
satisfied : cufotefsuni
. : .
he : sa
also : emfuzi
to_warm : uzovnu
himself : saLfansa
and : oxe
to_say : ubofu
' : qi
i : eLe
to_be : uamu
warm : zovnomo
. : .
i : eLe
to_be_able : tupaepna
to_feel : uhaimu
the : da
fire : tine 
. : .
' : qu
the : da
remainder : vaLouLTav
he : sa
to_make : uLaqau
into : duLtu
a : a
god : kut
, : , 
his : saLza
idol : utamfa
. : .
he : sa
to_bow : uopuzu
down : TuzLa
to : tu
it : fa
and : oxe
he : sa
to_worship : ubouraLtou
it : fa
. : .
he : sa
to_pray : ubzeiu
to : tu
it : fa
and : oxe
to_say : ubofu
' : qi
to_save (imp) : ufozaa
me : eLem
. : .
for (conj) : huvupu
you : fema
to_be : uamu
my : eLemza
god : kut
. : .
' : qu
they : mi
not : mot
to_know : uqaLaru
, : ,
nor : muz
to_do : utuTuu
they : mi
to_comprehend : ujuLbavasintu
. : .
for (conj) : huvupu
their : miza
eyes : fenaneT
to_be : uamu
shut (adj) : fafodmo
, : ,
so : fu
that : idta
they : mi
not : mot
to_be_able : tupaepna
to_see : uzeTu
, : ,
and : oxe
their : miza
minds : bahuiqaT
also (adv) : emfuzi
, : ,
so : fu
that : idta
they : mi
not : mot
to_be_able : tupaepna
to_understand : uunLavau
. : .
no : iL
one : eLikam
to_consider : ujumhutazu
, : ,
nor : muz
to_be : uamu
there : dava
knowledge : buqaLaru
or : az
discernment : oTefexizmaniLtu
to_to_say : tubotu
': qi
half : sonsa
of : asu
it : fa
i : eLe
to_burn (past) : upivLo
in : uL
the : da
fire : tine
. : .
i : eLe
also : emfuzi
to_bake (past) : upoqao
bread : naube
on : aL
its : safaza 
coals : juemim
. : .
i : eLe
to_roast (past) : uvuehtu
meat : neso
and : oxe
i : eLe
have : ueLanad
to_eat (past) : ueiqamo
. : .
'? : qqi
now : mit
shall : ufanmu
i : eLe
to_make : uLaqau
of : asu 
the : da
remainder : vaLouLTav
a : a
abomination : epanuLeduum
'? : qqu
'? : qqi
shall : ufanmu
i : eLe
to_fall : uhonmu
down : TuzLa
before : pahuv
a : a
block : pamaxeqa
of : asu
wood : zaut
'? : qqu
' : qu
he : sa
to_feed : uhaitu
on : aL
ashes : ehsaT
. : .
a : a
deluded (adj) : TaniTaTmo
mind : bahuiqa
have : ueLanad
to_lead (past) : unaeto
him : saL
astray : ehtazeizi
, : ,
and : oxe
he : sa
not : mot
to_be_able : tupaepna
to_save : ufozau
himself : saLfansa
or : az
to_say : ubofu
' : qi
'? : qqi
to_be : uamu 
this : def
thing : dumqa
in : uL
my : eLemza
right : vekaftamo
hand : qafe
a : a
fraud : hazeiT
'? : qqu
' : qu
to_remember (imp) : uLiuhtoa
these : dafa 
things : dumqaT
o : o
jacob : jakob
, : ,
and : oxe
israel : israeL
, : ,
for (conj) : huvupu
you : fema
to_be : uamu
my : eLemza
servant : foLteh
. : .
i : eLe
to_form (past) : uhuvno
you : fema
. : .
you : fema
to_be : uamu
my : eLemza
servant : foLteh
. : .
o : o 
israel : israeL
you : fema
will : danaLeu
not : mot
to_to_be : tupa
forgotten (adj) : huvqadtamamo
by : pi
me : eLem
. : .
i : eLe
have : ueLanad
to_sweep (past): ufriabo
away : ereizi
your : femaza
transgressions : tazeLfqavafuumim
like : qiuL
a : a
cloud : jamaiT
, : ,
and : oxe
your : femaza
sins : timduT
like : qiuL
a : a
mist : Lefda
. : .
to_return (imp) : uvativLa
to : tu
me : eLem
, : ,
for (conj) : huvupu
i : eLe
have : ueLanad
to_redeem (past) : uvaTaino
you : fema
. : .
to_sing (imp) : ufemqa
o : o 
heavens : toerehuT
, : ,
for (conj) : huvupu
the : da
lord : etme
have : ueLenad
to_do (past) : utuTuo
it : fa
. : .
to_shout (imp) : ufafaita
o : o
depths : TabToTaT
of : asu
the : da 
earth : iovTa
. : .
to_break (imp) : upzioqa
forth : huvaTzi
into : duLtu
singing : obufumquLka
, : ,
o : o
mountains : ziazuT
, : ,
o : o
forest : huvafda
, : , 
and : oxe
every : exuqo
tree : buo
in : uL
it : fa
. : .
for (conj) : huvupu
the : da
lord : etme
have : ueLanad
to_redeem (past) : uvaTaino
jacob : jakob
, : ,
and : oxe
will : danaLeu
to_to_be : tupa
glorified : kumazuhimo
in : uL
israel : israeL
. : .
thus : difazi 
to_say : ubofu
the : da
lord : etme
, : ,
your : femaza
redeemer : ovaTainiz
, : ,
who : qiqo
to_form (past) : uhuvno
you : fema
in : uL
the : da
womb : qusdo
. : .
i : eLe
to_be : uamu
the : da
lord : etme
, : ,
who : qiqo
to_make (past)  : uLaqao
all : bom
things : dumqaT
, : ,
who : qiqo
alone : emaLi
to_stretch (past) : ufdavatexo
out : aut
the : da
heavens : toerehuT
, : ,
who : qiqo
by : pi
myself : Lifansu
to_spread (past) : ufbuvaeto
out : aut
the : da
earth : iovTa
, : ,
who : qiqo
to_frustrate : uhazohtazedu
the : da
omens : aniLfim
of  : as
liars : neezuT
, : ,
and : oxe
to_make : uLaqau
fools : tibavifim
of : asu
diviners : TuTezemaT
. : .
who : qiqo
to_turn : utivLu
back : pojguzi
the : da
wise (noun, : , pl) : ozefaT
, : ,
and : oxe
to_make : uLaqau
their : da
knowledge : buqaLaru
foolish (adj) : tibavififafmo
. : .
who : qiqo
to_confirm : ujumsuzLu
the : da
word : zavTu
of : asu
his : saLza
servenat : foLteh
, : ,
and : oxe
to_fulfill : uhunsumu
the : da
predictions : bezituxeteaLim
of : asu
his : saLza
messengers : almegim
. : .
who : qiqo
to_say : ubofu
of : asu
jerusalem : jerusaLem
' : qi
it : fa
shall : ufanmu
to_be (fut) : uami
inhabited : cuuLsopetuni
. : .
' : qu
and : oxe
of (p)  : asu
the : da
cities : qoiboLqeT
of : asu
judah : judah
' : qi
they : mi
shall : ufanmu
to_be (fut) : uami
rebuilt : kuvapiumTuni
, : ,
and : oxe
i : eLe
will : danaLeu
to_raise (fut) : uvouhii
up : maoho
their : miza
ruins : vooLuT
. : .
' : qu
who : qiqo
to_say : ubofu
to : tu
the : da
deep (noun) : oTaib
' : qi
to_be (imp) : uama
dry : muTzuimo
. : .
i : eLe
will : danaLeu
to_dry : uTzuu
up : maoho
your : femaza
rivers : exuqe
. : .
' : qu
who : qiqo
to_say : ubofu
of : asu
cyrus : sirus
' : qi
he : sa
to_be : uamu
my : eLemza
shepherd : bunoLnehsavtu
, : ,
and : oxe
he : sa
shall : ufanmu
to_carry : ujovzuu
out : aut
all : bom
my : eLemza
purpose :  bivbahi
. : .
' : qu
and : oxe
who : qiqo
to_say : ubofu
of : asu
jerusalem : jerusaLem
' : qi
it : fa
shall : ufanmu
to_to_be : tupa
rebuilt : kuvapiumtuni
. : .
' : qu
and : oxe
of : asu
the : da
temple : afuna
' : qi
your : femaza
foundation : huoLteam
shall : ufanmu
to_to_be : tupa
laid : cunouni
. : .
' : qu
__: bobo
#------------------------------ch 45 
thus : difazi
to_say : ubofu
the : da
lord : etme
to : tu
his : saLza
anointed : eLaimdit
, : ,
to : tu
cyrus : sirus
. : .
whose : fahiza
right (adj) : vekfatmo
hand : qafe
i : eLe
have : ueLanad
to_grasp (past) :  ukazehbo
to_to_subdue : tufiptoao
nations : moteuLim
before : pahuv
him : saL
, : ,
and : oxe
to_strip : ufdavebu
kings : vacuT
of : asu
their : miza
robes : vupaT
, : ,
to_to_open : tuabiLu
doors : Tuazim
before : pahuv
him : saL
, : ,
and : oxe
the : da
gates : kotaT
shall : ufanmu
not : mot
to_be (fut) : uami
closed : kujamahini
. : .
i : eLe
will : danaLeu
to_go : uLamLu
before (adv) : pahuvzi  
you : fema
and : oxe
to_level : unazanu
the : da
mountains : ziazuT
. : .
i : eLe
will : danaLeu
to_break : upzioqu
in : uL
pieces : bonoT
the : da
doors : Tuazim
of : asu
bronze : pazaLra
and : oxe
will : danaLeu
to_cut : ujitu
through : dazo
the : da
bars : opovim
of : asu
iron : guzaL
. : .
i : eLe
will : danaLeu
to_give : ukezu
you : fema
the : da
treasures : batoaziofivim
of : asu
darkness : Tovgumafha
and : oxe
riches : vejfihim
hidden : guseTauni
in : uL
secret (adj) : fajzidmo
places : obamexiuT
, : ,
so : fu
that : idta
you : fema
may : Lou
to_know : uqaLaru
that :  idta
it : fa
to_be : uamu
i : eLe
, : ,
the : da
lord : etme
, : ,
the : da
god : kut
of : asu
israel : israeL
who : qiqo
to_call : ujonmu
you : fema
by : pi
your : femaza
name : moL
. : .
for (prep) : huvuin
the : da
sake : ofogi
of : asu
my : eLemza
servant : foLteh
jacob : jakob
, : ,
and : oxe
israel : israeL
my : eLemza
chosen : jafahiL
, : ,
i : eLe
to_call : ujonmu 
you : fema
by : pi
your : femaza
name : moL
. : .
i : eLe
surname : ufivLeniu
you : fema
though : duoqufa
you : fema
to_do : utuTuu
not : mot
to_know : uqaLaru
me : eLem
. : .
i : eLe
to_be : uamu
the : da
lord : etme
, : ,
and : oxe
there : dava 
to_be : uamu
no : iL
other : aTiz
. : .
besides (adv) : pafetafzi
me : eLem
there : dava
to_be : uamu
no : iL
god : kut
. : .
i : eLe
to_arm : uezLu
you : fema
though : duoqufa
you : fema
to_do : utuTuu
not  : mot
to_know : uqaLaru
me : eLem
, : ,
so : fu
that : idta
they : mi
may : Lou
to_know : uqaLaru
, : ,
from : hazani
the : da
rising : obuvefauLka
of : asu
the : da
sun : sanaeh
, : ,
and : oxe
from : hazani
the : da
west : namhu
, : ,
that : idta
there : dava
to_be : uamu
no : iL
one : eLikam
besides : pafeTafzi
me : eLem
. : .
i :  eLe
to_be : uamu
the : da
lord : etme
and : oxe
there : dava 
to_be : uamu
no : iL
other : aTiz
. : .
i : eLe
to_form : uhuvnu
light : nekfuta
and : oxe
i : eLe
to_create : ujziotau
darkness : Tovgumafha
. : .
i : eLe
to_make : uLaqau
weal : ozaem
and : oxe
to_create : ujziotau
woe : zui
. : .
i : eLe
the : da
lord : etme
